year,surveyID,beachID,beach_name,beach_county,beach_region,lat,lon,survey_window,wind_direction,wind_strength,sea_state,tot_survey_hours,number_volunteers,length_surveyed_metres,lighters_tobacco_pouches,cigarette_packets,cigarette_stubs
2008,31560,2853,Rockham Beach,Devon,South West England,51.19276901,-4.207017647,GBBC,,Light,Calm,2,6,100,1,0,0
2008,31367,2729,Broad Haven,Pembrokeshire,Wales,51.78010523,-5.103535652,GBBC,Onshore,Light,Moderate,0.5,39,100,6,1,6
2008,31368,3485,Porth Neigwl (Hells Mouth),Gwynedd,Wales,52.80814465,-4.549884796,GBBC,Onshore,Light,Calm,2,10,100,4,0,0
2008,31597,3513,Kilkeel South,Co. Down,Northern Ireland,54.05619506,-5.997403264,GBBC,,,,0.75,120,100,1,0,1
2008,31555,2613,Cayton Bay,North Yorkshire,North East England,54.243576,-0.357303,GBBC,Onshore,Light,Calm,0.67,1,100,0,0,0
2008,31752,2630,Loe Bar,Cornwall,South West England,50.07134106,-5.295726668,GBBC,,,,2,15,100,4,3,1
2008,31753,2631,Gunwalloe Fishing Cove,Cornwall,South West England,50.05653261,-5.280057192,GBBC,,,,0,15,100,4,0,0
2008,31658,2182,Widemouth Bay,Cornwall,South West England,50.79258963,-4.557083845,GBBC,Offshore,Light,Calm,0.83,2,100,1,1,3
2008,31508,2659,Leven,Fife,Scotland,56.19639099,-2.989032268,GBBC,Onshore,Light,Calm,1.5,15,100,2,0,0
2008,31657,3130,Crooklets,Cornwall,South West England,50.83580058,-4.553776762,GBBC,Offshore,Light,Calm,0.75,2,100,6,2,13
2008,31436,2897,Lepe,Hampshire,South East England,50.78372007,-1.354502466,GBBC,Onshore,Light,Calm,5.5,13,100,7,2,0
2008,31446,2151,Lossiemouth West,Moray,Scotland,57.72153492,-3.299717903,GBBC,Offshore,Light,Calm,1,14,100,0,12,183
2008,31480,2582,Budds Farm,Hampshire,South East England,50.84144188,-0.995753064,GBBC,,Light,Calm,2,9,100,13,2,0
2008,31424,2102,Cuckmere Haven,East Sussex,South East England,50.7565958,0.155232641,GBBC,Onshore,Light,Calm,0.87,3,100,0,0,0
2008,31392,2811,Point Beach,Isle of Wight,South East England,50.6951392,-1.088714004,GBBC,,Light,Moderate,1.5,6,100,0,2,12
2008,31405,2109,Cramond,Edinburgh,Scotland,55.98064765,-3.299310207,GBBC,Offshore,Light,Moderate,1,64,100,3,1,33
2008,31414,3054,Carrick Bay,Dumfries and Galloway,Scotland,54.82441341,-4.217226505,GBBC,Onshore,Light,Moderate,2,4,100,0,0,1
2008,31491,3339,Troon South Beach,Ayrshire - South,Scotland,55.5375196,-4.656765461,GBBC,,Light,Calm,1,14,100,0,0,15
2008,31492,2997,Gosford Bay,East Lothian,Scotland,55.99851689,-2.894790348,GBBC,Onshore,Light,Calm,6,11,100,3,0,0
2008,31571,3326,Beadnell Bay South,Northumberland,North East England,55.53886398,-1.633926705,GBBC,Offshore,Light,Moderate,2,2,100,0,0,0
2008,31672,2430,Portinfer,Guernsey,Channel Islands,49.4932,-2.5733,GBBC,,Light,Calm,1,4,100,3,0,1
2008,46221,3342,"Little Beach, Berwick upon Tweed",Northumberland,North East England,55.7683416,-1.990306377,GBBC,Offshore,Light,Moderate,1,1,100,0,0,0
2008,31309,3116,Langland Bay,Swansea,Wales,51.56783504,-4.013185666,GBBC,Offshore,Light,Calm,2,17,100,4,0,11
2008,31442,3256,Rustington,West Sussex,South East England,50.80249032,-0.511658192,GBBC,,Light,Moderate,1.5,38,100,0,0,0
2008,31504,2175,Balmedie Beach,Aberdeenshire,Scotland,57.25018177,-2.041436153,GBBC,Onshore,Light,Calm,1,1,100,0,0,3
2008,31598,2068,Newcastle,Co. Down,Northern Ireland,54.21225487,-5.886740684,GBBC,,,,2,6,100,6,4,6
2008,31584,2263,Blackhall Rocks (from the stack North),County Durham,North East England,54.747072,-1.271152,GBBC,,,Moderate,2.42,11,100,25,2,0
