ID,Country,Area,Individual wind farm ID,Lat,Long,Spp level,Order or class,Common name,Genus,Species,All species studied?,Duration (years),Total period (d),Metrics,Value,Quality,Correction factor used?,Estimation of value,Buffer area m2,Main habitat,Habitat detail,N wind farms,N turbines,Per turbine output (MW)
187,USA,Western U.S.,High Winds ,38.1315,-121.7861667,2,aves,Nocturnal migrants,,,N,2,365,Annual mortality per turbine,<1,High,,N,,,,1,100,1.8
187,USA,Western U.S.,High Winds ,38.1315,-121.7861667,2,aves,Nocturnal migrants,,,N,,365,Annual mortality per turbine,0.385,High,,N,,,,1,26,
187,USA,Western U.S.,High Winds ,38.1315,-121.7861667,2,aves,Nocturnal migrants,,,N,,365,Annual mortality per turbine,0.328,High,,N,,,,1,64,
75,USA,Western U.S.,High Winds ,38.1315,-121.7861667,2,aves,Raptor sp,,,N,1,365,Annual mortality per MW,1.222,High,Y,N,,,,1,90,1.8
75,USA,Western U.S.,High Winds ,38.1315,-121.7861667,2,aves,Raptor sp,,,N,1,365,Annual mortality per turbine,2.1996,High,Y,N,,,,1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,2,aves,Bird sp,,,Y,2,365,Annual mortality per turbine,2.92,Medium,Y,N,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,American Kestrel,Falco ,sparverius,Y,2,365,Annual mortality per turbine,0.460638,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Red-tailed Hawk,Buteo,jamaicensis,Y,2,365,Annual mortality per turbine,0.184266,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,White-tailed Kite,Elanus,leucurus,Y,2,365,Annual mortality per turbine,0.030708,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Ferruginous Hawk,Buteo ,regalis,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Rough-legged Buzzard,Buteo,lagopus,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Golden Eagle,Aquila ,chrysaetos,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Turkey Vulture,Cathartes ,aura,Y,2,365,Annual mortality per turbine,0.020466,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
102,USA,"Rio Vista in Solano County, California",High Winds ,38.1315,-121.7861667,1,aves,Double-crested Cormorant,Phalacrocorax ,auritus,Y,2,365,Annual mortality per turbine,0.010242,High,Y,Y,17678.57143,Farmland,"The land is privately owned and is largely agricultural. Where turbines and project roads are located the land use is entirely tilled agriculture. Crops include wheat, barley, hay and fallow fields.",1,90,1.8
